TIME(S)	ANN
0.0500	28
0.3083	2
0.9528	2
1.5861	2
2.2417	2
2.9111	2
3.5750	2
4.2306	2
4.9028	2
5.5389	2
6.1639	2
6.7639	2
7.3917	2
8.0083	2
8.6556	2
9.3111	2
9.9611	2
10.5917	2
11.2250	2
11.8444	2
12.4444	2
13.0278	2
13.6333	2
14.2444	2
14.8833	2
15.5333	2
16.1667	2
16.7972	2
17.3861	6
18.0056	2
18.6000	2
19.2167	2
19.8167	2
20.4361	2
21.0667	2
21.7333	2
22.4083	2
23.0333	2
23.6444	2
24.2694	2
24.9194	2
25.5472	2
26.1750	2
26.8333	2
27.5056	2
28.1889	2
28.8639	2
29.5000	2
30.1250	2
30.7639	2
31.4167	6
32.0806	2
32.7333	2
33.4167	2
34.1028	2
34.7861	2
35.4583	2
36.1028	2
36.7444	2
37.4000	2
38.1000	2
38.6778	5
39.4778	2
40.1750	2
40.8722	2
41.5500	2
42.2250	2
42.8806	2
43.5250	2
44.2167	2
44.9472	2
45.6583	2
46.3500	2
47.0444	2
47.7167	2
48.4000	2
49.0639	2
49.7306	2
50.4278	2
51.1722	2
51.8861	2
52.5806	2
53.2667	2
53.9306	2
54.6111	2
55.2972	2
55.9750	2
56.6667	2
57.4111	2
58.1361	2
58.8333	2
59.5139	2
60.1889	2
60.8611	2
61.5556	2
62.2444	2
62.9472	2
63.6722	2
64.4139	2
65.1083	2
65.7694	2
66.4389	2
67.1056	2
67.8000	2
68.5111	2
69.2306	2
69.9444	2
70.6889	2
71.3861	2
72.0500	2
72.7167	2
73.3944	2
74.1083	2
74.8333	2
75.5556	2
76.2639	2
76.8222	5
77.6806	2
78.3444	2
79.0333	2
79.7194	2
80.4444	2
81.1944	2
81.9167	2
82.6194	2
83.3444	2
84.0417	2
84.7194	2
85.3972	2
86.1028	2
86.8306	2
87.5889	2
88.3111	2
89.0056	2
89.7083	2
90.4194	2
91.1083	2
91.7833	2
92.3417	5
93.2250	2
93.9611	2
94.6889	2
95.3750	2
96.0556	2
96.7694	2
97.4611	2
98.1444	2
98.8639	2
99.5917	2
100.3306	2
101.0500	2
101.7417	2
102.4278	2
103.1417	2
103.8417	2
104.5528	2
105.2833	2
106.0139	2
106.7528	2
107.4750	2
108.1583	2
108.8278	2
109.5389	2
110.2528	2
110.9778	2
111.7000	2
112.4250	2
113.1361	2
113.8444	2
114.5222	2
115.1944	2
115.8917	2
116.6361	2
117.3639	2
118.0667	2
118.7889	2
119.4778	2
120.1778	2
120.8667	2
121.5556	2
122.2500	2
123.0083	2
123.7417	2
124.4444	2
125.1500	2
125.8389	2
126.5250	2
127.1583	5
127.9056	2
128.5889	2
129.3222	2
130.0556	2
130.7667	2
131.4333	2
132.1056	2
132.7667	2
133.4556	2
134.1417	2
134.8500	2
135.5694	2
136.3139	2
137.0222	2
137.6861	2
138.3583	2
139.0250	2
139.7222	2
140.4389	2
141.1389	2
141.8389	2
142.5806	2
143.2778	2
143.9472	2
144.6083	2
145.2833	2
145.9722	2
146.7000	2
147.4111	2
148.1083	2
148.8278	2
149.5361	2
150.2028	2
150.8528	2
151.5278	2
152.2028	2
152.9139	2
153.6278	2
154.3333	2
155.0139	2
155.7139	2
156.3806	2
157.0333	2
157.7028	2
158.3917	2
159.1194	2
159.8611	2
160.5639	2
161.2472	2
161.9417	2
162.6306	2
163.3139	2
163.9917	2
164.7083	2
165.4472	2
166.1917	2
166.8972	2
167.5806	2
168.2806	2
168.9806	2
169.6694	2
170.3694	2
171.1028	2
171.8306	2
172.5722	2
173.2722	2
173.9444	2
174.6250	2
175.3333	2
176.0278	2
176.7222	2
177.4417	2
178.1417	2
178.8583	2
179.5444	2
180.2083	2
180.8556	2
181.5472	2
182.2472	2
182.9500	2
183.6444	2
184.3611	2
185.0722	2
185.7722	2
186.4389	2
187.0972	2
187.8028	2
188.5306	2
189.2583	2
189.9667	2
190.6833	2
191.3750	2
192.0694	2
192.7389	2
193.4139	2
194.1139	2
194.8556	2
195.5806	2
196.2833	2
196.9889	2
197.6667	2
198.3500	2
199.0444	2
199.7278	2
200.4167	2
201.1583	2
201.8917	2
202.6028	2
203.2917	2
203.9778	2
204.6556	2
205.3583	2
206.0556	2
206.7556	2
207.4917	2
208.2500	2
208.9611	2
209.6278	2
210.3111	2
210.9833	2
211.6833	2
212.3972	2
213.1278	2
213.8444	2
214.6000	2
215.3083	2
215.9833	2
216.6639	2
217.3556	2
218.0722	2
218.8083	2
219.5333	2
220.2444	2
220.9722	2
221.6750	2
222.3583	2
223.0278	2
223.7194	2
224.4361	2
225.1806	2
225.9000	2
226.6056	2
227.3194	2
228.0250	2
228.7083	2
229.3778	2
230.0806	2
230.7917	2
231.5389	2
232.2667	2
232.9667	2
233.6639	2
234.3833	2
235.0611	2
235.6194	5
236.4278	2
237.1306	2
237.8778	2
238.5972	2
239.2861	2
239.9444	2
240.6333	2
241.2944	2
241.9528	2
242.6222	2
243.3111	2
244.0028	2
244.6806	2
245.3333	2
245.9722	2
246.6000	2
247.2778	2
247.9306	2
248.5833	2
249.2556	2
249.9444	2
250.6389	2
251.3278	2
251.9639	2
252.5972	2
253.2639	2
253.9556	2
254.6472	2
255.3306	2
256.0361	2
256.7333	2
257.4333	2
258.1111	2
258.7750	2
259.4583	2
260.1972	2
260.9250	2
