TIME(S)	ANN
0.0361	28
0.1889	3
1.0250	3
1.8722	3
2.7222	3
3.5667	3
4.4083	3
5.2194	3
6.0417	3
6.8750	3
7.6833	3
8.4833	3
9.3444	3
10.2056	3
11.0500	3
11.8944	3
12.7222	3
13.5639	3
14.3639	3
15.1778	3
16.0056	3
16.8250	3
17.6417	3
18.4556	3
19.2472	3
20.0417	3
20.8500	3
21.6472	3
22.4500	3
23.2722	3
24.0667	3
24.9056	3
25.7389	3
26.5694	3
27.4306	3
28.2722	3
29.1111	3
29.9694	3
30.6833	5
31.6194	3
32.4639	3
33.3083	3
34.1500	3
34.9861	3
35.8278	3
36.6639	3
37.4917	3
38.3056	3
39.0861	3
39.8861	3
40.6611	3
41.4333	3
42.2472	3
43.0472	3
43.8583	3
44.6944	3
45.5361	3
46.3917	3
47.2389	3
48.0917	3
48.9500	3
49.8139	3
50.6750	3
51.5222	3
52.3722	3
53.2139	3
54.0528	3
54.8917	3
55.7083	3
56.5556	3
57.3750	3
58.2139	3
59.0750	3
59.9056	3
60.7444	3
61.6000	3
62.4278	3
63.2694	3
64.1000	3
64.9250	3
65.7417	3
66.5778	3
67.4222	3
68.2389	3
69.0639	3
69.9139	3
70.7583	3
71.5972	3
72.4389	3
73.2639	3
74.0944	3
74.9333	3
75.7722	3
76.5972	3
77.4250	3
78.2694	3
79.0806	3
79.9083	3
80.7222	3
81.5278	3
82.3556	3
83.1861	3
84.0000	3
84.8250	3
85.6389	3
86.4472	3
87.2556	3
88.0667	3
88.8500	3
89.6444	3
90.4444	3
91.2500	3
92.0583	3
92.8583	3
93.4889	8
94.3972	3
95.2500	3
96.0500	3
96.8444	3
97.6417	3
98.2917	8
99.1667	3
99.9806	3
100.7694	3
101.5639	3
102.3417	3
103.1417	3
103.9417	3
104.7389	3
105.3639	8
106.2778	3
106.9111	5
107.9167	3
108.7389	3
109.5222	3
110.3139	3
111.0944	3
111.9000	3
112.5556	8
113.4083	3
114.2389	3
115.0361	3
115.8528	3
116.6611	3
117.4611	3
118.2833	3
119.1000	3
119.9306	3
120.7583	3
121.5722	3
122.3917	3
123.1944	3
124.0056	3
124.8194	3
125.6417	3
126.4500	3
127.2500	3
128.0861	3
128.9028	3
129.7056	3
130.5306	3
131.3444	3
132.1333	3
132.9472	3
133.7417	3
134.5250	3
135.3167	3
136.1389	3
136.9306	3
137.7472	3
138.5583	3
139.3806	3
140.2083	3
141.0444	3
141.8889	3
142.7222	3
143.5639	3
144.4139	3
145.2583	3
146.0833	3
146.9306	3
147.7806	3
148.6194	3
149.4722	3
150.3250	3
151.1667	3
152.0222	3
152.8778	3
153.7111	3
154.5528	3
155.4167	3
156.2556	3
157.0944	3
157.9528	3
158.7722	3
159.6083	3
160.4389	3
161.2528	3
162.0833	3
162.8806	3
163.7028	3
164.5222	3
165.3389	3
166.1583	3
166.9750	3
167.7667	3
168.5722	3
169.2056	8
170.0944	3
170.9111	3
171.7333	3
172.5250	3
173.3306	3
174.1444	3
174.9333	3
175.7472	3
176.5556	3
177.3639	3
178.1778	3
179.0000	3
179.2222	37
180.4278	3
181.3222	3
182.1528	3
182.9722	3
183.7778	3
184.5722	3
185.4056	3
186.2139	3
187.0194	3
187.8472	3
188.6694	3
189.4806	3
190.3250	3
191.1694	3
191.4528	37
192.7083	3
193.6028	3
194.4667	3
195.3306	3
196.1500	3
196.9806	3
197.8000	3
198.6250	3
199.3111	8
200.2861	3
200.9500	8
201.9917	3
202.8833	3
203.7472	3
204.6222	3
205.4722	3
206.3000	3
207.1556	3
207.9917	3
208.8028	3
209.6083	3
210.4417	3
211.2694	3
212.1000	3
212.9361	3
213.7694	3
214.6000	3
215.4417	3
216.2861	3
217.1167	3
217.9472	3
218.8028	3
219.6528	3
220.4917	3
221.3333	3
222.1667	3
223.0056	3
223.8694	3
224.6056	5
225.5278	3
226.3667	3
227.2139	3
228.0306	3
228.8472	3
229.6667	3
230.4833	3
231.3000	3
232.1111	3
232.9306	3
233.7306	3
234.5194	3
235.3222	3
236.1222	3
236.9278	3
237.7389	3
238.5417	3
239.3417	3
240.1528	3
240.9806	3
241.7639	3
242.5583	3
243.3889	3
244.1806	3
245.0083	3
245.8194	3
246.6417	3
247.4944	3
248.3278	3
249.1722	3
250.0000	3
