TIME(S)	ANN
0.4833	28
0.7833	1
1.5583	1
2.3250	1
3.0667	1
3.8028	1
4.5528	1
5.3028	1
6.0556	1
6.7972	1
7.5500	1
8.2972	1
9.0417	1
9.8028	1
10.5444	1
11.2972	1
12.0667	1
12.8167	1
13.5722	1
14.3444	1
15.0944	1
15.8500	1
16.6028	1
17.3722	1
18.1444	1
18.8944	1
19.6806	1
20.4444	1
21.2028	1
21.9722	1
22.7306	1
23.4917	1
24.2722	1
25.0278	1
25.7861	1
26.5583	1
27.3083	1
28.0583	1
28.8111	1
29.5639	1
30.3278	1
31.0778	1
31.8333	1
32.5944	1
33.3667	1
34.1194	1
34.8639	1
35.6250	1
36.4222	1
37.1861	1
37.9611	1
38.7500	1
39.5028	1
40.2694	1
41.0333	1
41.7917	1
42.5528	1
43.3056	1
44.0639	1
44.8250	1
45.5972	1
46.3500	1
47.0917	1
47.8583	1
48.6444	1
49.4139	1
50.1917	1
50.9750	1
51.7556	1
52.5361	1
53.3000	1
54.0806	1
54.8694	1
55.6278	1
56.4028	1
57.1889	1
57.9583	1
58.7361	1
59.5028	1
60.2750	1
61.0667	1
61.8417	1
62.6361	1
63.4028	1
64.1583	1
64.9417	1
65.7056	1
66.4722	1
67.2417	1
68.0028	1
68.7833	1
69.5639	1
70.3083	1
71.0861	1
71.8528	1
72.6389	1
73.3972	1
74.1583	1
74.9472	1
75.7056	1
76.4639	1
77.2278	1
77.9861	1
78.7639	1
79.5139	1
80.2639	1
81.0389	1
81.7944	1
82.5389	1
83.2972	1
84.0500	1
84.8278	1
85.5917	1
86.3444	1
87.1250	1
87.8972	1
88.6444	1
89.4056	1
90.1611	1
90.9389	1
91.6889	1
92.4472	1
93.2389	1
94.0083	1
94.7750	1
95.5472	1
96.3222	1
97.1056	1
97.5889	5
98.6556	1
99.4250	1
99.9083	5
100.9528	1
101.7139	1
102.4667	1
103.2444	1
104.0000	1
104.7750	1
105.5389	1
106.2917	1
107.0556	1
107.8139	1
108.5806	1
109.3556	1
110.1222	1
110.9028	1
111.6722	1
112.4472	1
113.2167	1
113.9778	1
114.7556	1
115.5361	1
116.3000	1
117.0694	1
117.8389	1
118.5917	1
119.3528	1
120.1139	1
120.8833	1
121.6722	1
122.4389	1
123.2194	1
123.9917	1
124.7500	1
125.5194	1
126.2806	1
127.0528	1
127.8306	1
128.5944	1
129.3861	1
130.1611	1
130.9278	1
131.7028	1
132.4722	1
133.2500	1
134.0306	1
134.7972	1
135.5611	1
136.3333	1
137.0889	1
137.8444	1
138.6056	1
139.3639	1
140.1222	1
140.8722	1
141.6583	1
142.4111	1
143.1528	1
143.9333	1
144.6750	1
145.4556	1
146.2306	1
146.9833	1
147.7694	1
148.5389	1
149.0111	5
150.0389	1
150.8000	1
151.5528	1
152.3083	1
153.0611	1
153.8278	1
154.5778	1
155.3222	1
156.0639	5
156.8417	1
157.6111	1
158.1389	5
159.1139	1
159.8861	1
160.6417	1
161.3722	1
162.1139	1
162.8583	1
163.6028	1
164.3389	1
165.0889	1
165.8528	1
166.5889	1
167.3306	1
168.0944	1
168.8333	1
169.6028	1
170.3639	1
171.1028	1
171.8750	1
172.6194	1
173.3556	1
174.1083	1
174.8556	1
175.5944	1
176.3472	1
177.1000	1
177.8639	1
178.6167	1
179.3528	1
180.1167	1
180.8639	1
181.6333	1
182.3889	1
183.1389	1
183.9167	1
184.6667	1
185.4111	1
186.1611	1
186.9111	1
187.6667	1
188.4250	1
189.1750	1
189.9472	1
190.6972	1
191.4333	1
192.2028	1
192.9472	1
193.7139	1
194.4722	1
195.2194	1
195.9944	1
196.7472	1
197.4944	1
198.2472	1
198.9917	1
199.7417	1
200.5028	1
201.2472	1
201.9944	1
202.7472	1
203.4944	1
204.2444	1
204.9750	1
205.7333	1
206.4972	1
207.2278	1
207.7056	5
208.7361	1
209.4917	1
210.2278	1
210.9722	1
211.7056	1
212.4639	1
213.2056	1
213.9361	1
214.7028	1
215.4444	1
216.1778	1
216.9167	1
217.6667	1
218.4167	1
219.1583	1
219.8972	1
220.6611	1
221.4000	1
222.1278	1
222.8833	1
223.6194	1
224.3556	1
225.1083	1
225.8444	1
226.5944	1
227.3444	1
228.0833	1
228.8250	1
229.5722	1
230.3139	1
231.0639	1
231.8000	1
232.5556	1
233.3028	1
234.0444	1
234.7861	1
235.5111	1
236.2556	1
237.0167	1
237.7556	1
238.4972	1
239.2583	1
240.0083	1
240.7472	1
241.5000	1
242.2472	1
243.0139	1
243.7583	1
244.5167	1
245.2806	1
246.0389	1
246.7917	1
247.5278	1
248.2889	1
249.0583	1
249.8111	1
250.5694	1
