TIME(S)	ANN
0.0500	28
0.2139	1
1.0278	1
1.8389	1
2.6278	1
3.4194	1
4.2083	1
5.0250	1
5.6778	8
6.6722	1
7.5167	1
8.3278	1
9.1167	1
9.8889	1
10.7278	1
11.5833	1
12.4056	1
13.2333	1
14.0556	1
14.8500	1
15.6472	1
16.4389	1
17.2611	1
18.1306	1
18.9528	1
19.7389	1
20.5306	1
21.3056	1
22.0917	1
22.9028	1
23.7194	1
24.5472	1
25.3917	1
26.1972	1
26.9722	1
27.7722	1
28.5611	1
29.4194	1
30.2611	1
31.0861	1
31.8889	1
32.7250	1
33.5167	1
34.3056	1
35.1250	1
35.9694	1
36.8500	1
37.6722	1
38.4500	1
39.2528	1
40.0639	1
40.8611	1
41.6972	1
42.5278	1
43.3528	1
44.1639	1
44.9528	1
45.7333	1
46.5417	1
47.3833	1
48.2167	1
49.0472	1
49.8528	1
50.6306	1
51.4278	1
52.2083	1
53.0000	1
53.8556	1
54.7028	1
55.5250	1
56.3083	1
57.0944	1
57.8806	1
58.6972	1
59.5083	1
60.3583	1
61.1917	1
62.0028	1
62.7861	1
63.5583	1
64.3444	1
65.1472	1
65.9889	1
66.8139	1
67.6250	1
68.4028	1
69.2028	1
69.9917	1
70.7917	1
71.6083	1
72.4667	1
73.2972	1
74.0833	1
74.8667	1
75.6583	1
76.4889	1
77.3139	1
78.1444	1
78.9750	1
79.7972	1
80.5944	1
81.3722	1
82.1667	1
82.9806	1
83.8389	1
84.6861	1
85.4972	1
86.2917	1
87.0778	1
87.8750	1
88.6861	1
89.5111	1
90.3583	1
91.2111	1
92.0194	1
92.7861	1
93.5861	1
94.3889	1
95.2056	1
96.0417	1
96.8611	1
97.6889	1
98.4861	1
99.2667	1
100.0444	1
100.8583	1
101.6806	1
102.5444	1
103.3750	1
104.1639	1
104.9500	1
105.7528	1
106.5444	1
107.3639	1
108.1944	1
109.0333	1
109.8528	1
110.6250	1
111.3778	1
112.1722	1
112.9917	1
113.8056	1
114.6417	1
115.4639	1
116.2472	1
116.9917	1
117.8222	1
118.6028	1
119.4333	1
120.2972	1
121.1194	1
121.9222	1
122.7000	1
123.4861	1
124.2861	1
125.0833	1
125.8972	1
126.7444	1
127.5694	1
128.3444	1
129.1056	1
129.8861	1
130.6583	1
131.4833	1
132.3111	1
133.1083	1
133.8944	1
134.6833	1
135.4611	1
136.2222	1
137.0083	1
137.8278	1
138.6750	1
139.4833	1
140.2528	1
141.0306	1
141.8222	1
142.6083	1
143.4056	1
144.2250	1
145.0444	1
145.8500	1
146.6222	1
147.3972	1
148.1694	1
148.9750	1
149.7861	1
150.6083	1
151.4083	1
152.1778	1
152.9556	1
153.7306	1
154.5139	1
155.3000	1
156.1306	1
156.9500	1
157.7333	1
158.4861	1
159.2583	1
160.0417	1
160.8333	1
161.6444	1
162.4722	1
163.3000	1
164.1028	1
164.8722	1
165.6417	1
166.4417	1
167.2611	1
168.0972	1
168.9361	1
169.7361	1
170.5306	1
171.3333	1
172.1194	1
172.9083	1
173.7417	1
174.5889	1
175.4278	1
176.2167	1
176.9750	1
177.7722	1
178.5778	1
179.3917	1
180.2111	1
181.0389	1
181.8444	1
182.6389	1
183.4167	1
184.1861	1
185.0111	1
185.5333	8
186.4722	1
187.3167	1
188.1333	1
188.9083	1
189.7278	1
190.5389	1
191.3500	1
192.1972	1
193.0639	1
193.8778	1
194.6472	1
195.4361	1
196.2306	1
197.0583	1
197.8889	1
198.7194	1
199.5694	1
200.3833	1
201.1583	1
201.9528	1
202.7722	1
203.6139	1
204.4750	1
205.3083	1
206.1000	1
206.8972	1
207.6861	1
208.2944	8
209.2556	1
210.0889	1
210.9278	1
211.7583	1
212.5417	1
213.2917	1
214.0944	1
214.9056	1
215.7306	1
216.5389	1
217.3639	1
218.1639	1
218.9556	1
219.7222	1
220.5167	1
221.3583	1
222.1972	1
223.0278	1
223.8417	1
224.6333	1
225.4222	1
226.2194	1
227.0278	1
227.8611	1
228.7083	1
229.5444	1
230.3528	1
231.1361	1
231.9222	1
232.7611	1
233.6194	1
234.4639	1
235.3028	1
236.1389	1
236.9528	1
237.7222	1
238.5278	1
239.3639	1
240.2167	1
241.0556	1
241.8861	1
242.6778	1
243.4778	1
244.2806	1
245.0889	1
245.9167	1
246.7611	1
247.5972	1
248.3917	1
249.1750	1
249.9667	1
250.7944	1
251.6389	1
252.4583	1
253.3056	1
254.1139	1
254.8917	1
255.6833	1
256.4944	1
257.3139	1
258.1778	1
259.0167	1
259.8167	1
260.6222	1
261.3944	1
262.2083	1
263.0361	1
263.8778	1
264.7167	1
265.5722	1
266.3694	1
267.1417	1
267.9167	1
268.7389	1
269.5833	1
270.4111	1
271.2333	1
272.0444	1
272.8556	1
273.6333	1
274.4139	1
275.2333	1
276.0611	1
276.6083	8
277.5833	1
278.3833	1
279.1556	1
279.9472	1
280.7528	1
281.5583	1
282.3694	1
283.1694	1
283.9833	1
284.7667	1
285.5361	1
286.3167	1
287.1417	1
287.9694	1
288.7889	1
289.6139	1
290.4028	1
291.1944	1
291.9944	1
292.7972	1
293.6306	1
294.4861	1
295.3167	1
296.1111	1
296.8944	1
297.6639	1
298.4806	1
299.3056	1
300.1250	1
300.9500	1
301.7861	1
302.5722	1
303.3306	1
304.1278	1
304.9222	1
305.7667	1
306.5944	1
307.4250	1
308.2306	1
309.0111	1
309.7889	1
310.5833	1
311.4111	1
312.2361	1
313.0833	1
313.8889	1
314.6694	1
315.4500	1
316.2500	1
317.0611	1
317.8556	1
318.6556	1
319.4444	1
320.2222	1
320.9639	1
321.7083	1
322.4556	1
323.2472	1
324.0389	1
324.8306	1
325.5917	1
326.3722	1
327.1278	1
327.9000	1
328.6750	1
329.4639	1
330.3083	1
331.1528	1
331.9694	1
332.7528	1
333.5472	1
334.3778	1
335.2111	1
336.0833	1
336.9444	1
337.7889	1
338.5806	1
339.3611	1
340.1667	1
340.9722	1
341.8056	1
342.6667	1
343.5111	1
344.2667	1
345.0583	1
345.8528	1
346.5972	1
347.3889	1
348.2083	1
349.0222	1
349.7944	1
350.5639	1
351.3222	1
352.0722	1
352.8472	1
353.6472	1
354.4528	1
355.2556	1
355.7917	8
356.7306	1
357.4944	1
358.2167	1
358.9722	1
359.7750	1
360.5500	1
361.2694	1
361.9944	1
362.6889	1
363.3833	1
364.0917	1
364.7944	1
365.5111	1
366.2528	1
367.0056	1
367.7250	1
368.4139	1
369.1194	1
369.8111	1
370.5278	1
371.2833	1
372.0361	1
372.7694	1
373.5083	1
374.2694	1
374.9722	1
375.6750	1
376.4000	1
377.1667	1
377.9472	1
378.7500	1
379.5278	1
380.2750	1
381.0278	1
381.8028	1
382.5806	1
383.3556	1
384.1778	1
384.9944	1
385.8000	1
386.5667	1
387.3333	1
388.1083	1
388.9139	1
389.7278	1
390.5528	1
391.3361	1
392.0889	1
392.8417	1
393.5667	1
394.2861	1
395.0194	1
395.7750	1
396.5194	1
397.2500	1
397.9583	1
398.6528	1
399.3500	1
400.0694	1
400.7944	1
401.5472	1
402.3111	1
403.0861	1
403.8361	1
404.5750	1
405.2833	1
406.0278	1
406.7917	1
407.6028	1
408.3694	1
409.1389	1
409.9028	1
410.6444	1
411.3861	1
412.1194	1
412.8806	1
413.6556	1
414.4556	1
415.2444	1
416.0222	1
416.7500	1
417.5083	1
418.2639	1
419.0250	1
419.7833	1
